Id,item,txtitem
1,1264585,MANUTENCAO ANALISADOR DE GAS
2,1264590,MANUTENCAO ANALISADOR DE GAS
3,1264593,MANUTENCAO ANALISADOR DE GAS
4,1339571,PE-1A- ENVIAR PARA CAL EXTERNA PC612_05
5,1288835,INSP ANALISADOR PC612_05
