Id,numplan,tpordem,tpativpm,ctresp
1,288404,YPM,SVC,MIPIN
2,288405,YPM,SVC,MIPIN
3,288406,YPM,SVC,MIPIN
4,288407,YPM,SVC,MIPIN
5,1264431,YPM,SVC,MIPIN
6,1264587,YPM,SVC,MIPIN
7,1264588,YPM,SVC,MIPIN
8,1264589,YPM,SVC,MIPIN
9,1264591,YPM,SVC,MIPIN
10,1339572,YPM,SVE,MIPEL
11,1339573,YPM,SVE,MIPEL
12,1339574,YPM,SVE,MIPEL
13,1288836,YPM,SVI,IIPIN
14,1288837,YPM,SVI,IIPIN
